id_country;name;geo_point
415b53c7-92aa-4392-921d-8a6cb50b1e7a;Harvard University;45.7056295354, -112.599438377
415b53c7-92aa-4392-921d-8a6cb50b1e7a;Harvard Medical School;
59f0d4bc-9a9e-4a35-8431-086517d80df5;Tsinghua Universit;
415b53c7-92aa-4392-921d-8a6cb50b1e7a;Stanford University;45.7056295354, -112.599438377
59f0d4bc-9a9e-4a35-8431-086517d80df5;University of Chinese Academy of Sciences;
415b53c7-92aa-4392-921d-8a6cb50b1e7a;Massachusetts Institute of Technology;
59f0d4bc-9a9e-4a35-8431-086517d80df5;Zhejiang University;36.5550685352, 103.883616289
2421796c-09a8-45cb-a7b0-dd7d6779947f;University of Oxford;53.9147734806, -2.8531353952
59f0d4bc-9a9e-4a35-8431-086517d80df5;Shanghai Jiao Tong University;36.5550685352, 103.883616289
415b53c7-92aa-4392-921d-8a6cb50b1e7a;Johns Hopkins University;45.7056295354, -112.599438377
415b53c7-92aa-4392-921d-8a6cb50b1e7a;University of Michigan, Ann Arbor;
2421796c-09a8-45cb-a7b0-dd7d6779947f;University College London;53.9147734806, -2.8531353952
415b53c7-92aa-4392-921d-8a6cb50b1e7a;University of Washington;45.7056295354, -112.599438377
415b53c7-92aa-4392-921d-8a6cb50b1e7a;University of Pennsylvania;45.7056295354, -112.599438377
59f0d4bc-9a9e-4a35-8431-086517d80df5;Peking University;36.5550685352, 103.883616289
94c8ee1b-11a9-4931-b752-917eb2457093;University of Toronto;61.4690761453, -98.1423813721
2421796c-09a8-45cb-a7b0-dd7d6779947f;University of Cambridge;53.9147734806, -2.8531353952
415b53c7-92aa-4392-921d-8a6cb50b1e7a;University of California, Los Angeles;45.7056295354, -112.599438377
415b53c7-92aa-4392-921d-8a6cb50b1e7a;Cornell University;45.7056295354, -112.599438377
59f0d4bc-9a9e-4a35-8431-086517d80df5;Huazhong University of Science and Technology;36.5550685352, 103.883616289
415b53c7-92aa-4392-921d-8a6cb50b1e7a;University of California, San Diego;45.7056295354, -112.599438377
415b53c7-92aa-4392-921d-8a6cb50b1e7a;Columbia University;45.7056295354, -112.599438377
415b53c7-92aa-4392-921d-8a6cb50b1e7a;University of California, Berkeley;45.7056295354, -112.599438377
00c04788-a568-4961-b3a9-a8ee00777af9;Universidade de Sao Paulo;
2421796c-09a8-45cb-a7b0-dd7d6779947f;Imperial College London;53.9147734806, -2.8531353952
fe72dbee-55ae-47a6-9890-c7cee6803e4e;Sorbonne Universite;
415b53c7-92aa-4392-921d-8a6cb50b1e7a;Yale University;45.7056295354, -112.599438377
169d95d2-56fd-42e4-9151-6c284a4339a5;National University of Singapore;1.34692359373, 103.812856964
23af144d-8ec6-43fb-b097-a5ddcdc44137;University of Tokyo;
415b53c7-92aa-4392-921d-8a6cb50b1e7a;University of California, San Francisco;45.7056295354, -112.599438377
415b53c7-92aa-4392-921d-8a6cb50b1e7a;University of Chicago;45.7056295354, -112.599438377
e715f160-55e7-4db2-8505-7762526b8420;University of Melbourne;-25.7306547797, 134.502775475
415b53c7-92aa-4392-921d-8a6cb50b1e7a;Duke University;45.7056295354, -112.599438377
e715f160-55e7-4db2-8505-7762526b8420;University of Sydney;-25.7306547797, 134.502775475
415b53c7-92aa-4392-921d-8a6cb50b1e7a;Northwestern University, Evanston;
59f0d4bc-9a9e-4a35-8431-086517d80df5;Harbin Institute of Technology;36.5550685352, 103.883616289
415b53c7-92aa-4392-921d-8a6cb50b1e7a;University of Wisconsin, Madison;
15ed37e1-5079-426b-8929-f1247a6b5e50;Swiss Federal Institute of Technology;
415b53c7-92aa-4392-921d-8a6cb50b1e7a;University of North Carolina, Chapel Hill;
fe72dbee-55ae-47a6-9890-c7cee6803e4e;Universite de Paris;
415b53c7-92aa-4392-921d-8a6cb50b1e7a;University of Minnesota, Twin Cities;45.7056295354, -112.599438377
59f0d4bc-9a9e-4a35-8431-086517d80df5;Sichuan University;36.5550685352, 103.883616289
0011fefb-a63c-4b0a-839b-b4da77b755a6;Seoul National University;36.4275986041, 127.821317128
415b53c7-92aa-4392-921d-8a6cb50b1e7a;New York University;45.7056295354, -112.599438377
59f0d4bc-9a9e-4a35-8431-086517d80df5;Xi'an Jiaotong University;
94c8ee1b-11a9-4931-b752-917eb2457093;The University of British Columbia;
415b53c7-92aa-4392-921d-8a6cb50b1e7a;Ohio State University, Columbus;
59f0d4bc-9a9e-4a35-8431-086517d80df5;Fudan University;36.5550685352, 103.883616289
59f0d4bc-9a9e-4a35-8431-086517d80df5;Tianjin University;36.5550685352, 103.883616289
59f0d4bc-9a9e-4a35-8431-086517d80df5;Sun Yat-Sen University;23.7409649798, 120.974800737
59f0d4bc-9a9e-4a35-8431-086517d80df5;Central South University;36.5550685352, 103.883616289
415b53c7-92aa-4392-921d-8a6cb50b1e7a;University of Illinois at Urbana-Champaign;45.7056295354, -112.599438377
e715f160-55e7-4db2-8505-7762526b8420;The University of Queensland;-25.7306547797, 134.502775475
59f0d4bc-9a9e-4a35-8431-086517d80df5;South China University of Technology;36.5550685352, 103.883616289
e715f160-55e7-4db2-8505-7762526b8420;Monash University, Melbourne;
ea9d6071-c506-4e06-bd42-4380ec4a8cd3;University of Copenhagen;56.0639344618, 9.8763729377
415b53c7-92aa-4392-921d-8a6cb50b1e7a;University of Pittsburgh;45.7056295354, -112.599438377
